sample_id,time,gateway,device_address,crc_status,frequency,spreading_factor,bandwidth,rssi,snr,snr_bin,size,airtime_s,p_success,expected_attempts,access_delay_s,max_attempts,retransmission_backoff_s
0,2020-01-01 00:00:00,gw_main,devB,1,868300000.0,9,125.0,-106.9664988527778,0.0073809201448954455,"(0.0, 2.0]",41.0,0.287744,0.8987341772151899,1.1115205896490947,0.4313539701970838,3,1.0
1,2020-01-01 00:00:01,gw_main,devC,1,867300000.0,8,125.0,-105.1325357542067,1.7924732250508193,"(0.0, 2.0]",49.0,0.174592,0.9338842975206612,1.0704869885936752,0.25738545290622217,3,1.0
2,2020-01-01 00:00:02,gw_main,devB,1,867100000.0,7,125.0,-88.2454394554828,-1.6448271321733055,"(-2.0, 0.0]",66.0,0.123136,0.8554216867469879,1.165481201916098,0.3089938951952387,3,1.0
3,2020-01-01 00:00:03,gw_main,devC,0,868300000.0,10,125.0,-120.15256123466152,-5.343551032543646,"(-6.0, -4.0]",68.0,0.739328,0.5,1.75,2.043824,3,1.0
4,2020-01-01 00:00:04,gw_main,devA,1,867100000.0,8,125.0,-95.42063220548582,-2.7280247110303355,"(-4.0, -2.0]",42.0,0.154112,0.7203389830508474,1.3578713013501866,0.5671355633438666,3,1.0
5,2020-01-01 00:00:07,gw_main,devC,1,868300000.0,8,125.0,-105.51811114233574,8.0412914733272,"(8.0, 10.0]",58.0,0.195072,0.9722222222222222,1.0285493827160495,0.22919056790123465,3,1.0
6,2020-01-01 00:00:08,gw_main,devA,1,868300000.0,7,125.0,-100.00909599554923,-2.953239111307978,"(-4.0, -2.0]",42.0,0.087296,0.8152866242038217,1.2188324069941985,0.325231600795164,3,1.0
7,2020-01-01 00:00:09,gw_main,devA,1,868300000.0,7,125.0,-117.87743670368593,-3.7228493989196423,"(-4.0, -2.0]",41.0,0.087296,0.8152866242038217,1.2188324069941985,0.325231600795164,3,1.0
8,2020-01-01 00:00:10,gw_main,devC,1,868300000.0,7,125.0,-103.92113431639153,2.9390523011111895,"(2.0, 4.0]",44.0,0.092416,0.952054794520548,1.0502439482079189,0.14730329292550193,3,1.0
9,2020-01-01 00:00:11,gw_main,devC,1,867100000.0,7,125.0,-100.24389802310996,2.1413220489603644,"(2.0, 4.0]",37.0,0.082176,0.952054794520548,1.0502439482079189,0.1365487948958528,3,1.0
10,2020-01-01 00:00:14,gw_main,devB,1,868300000.0,7,125.0,-92.93199682529531,-0.17551093477964094,"(-2.0, 0.0]",34.0,0.077056,0.8554216867469879,1.165481201916098,0.25528852141094494,3,1.0
11,2020-01-01 00:00:17,gw_main,devA,1,868300000.0,7,125.0,-119.4962007438295,-2.7456945662413093,"(-4.0, -2.0]",48.0,0.097536,0.8152866242038217,1.2188324069941985,0.3377124446427846,3,1.0
12,2020-01-01 00:00:18,gw_main,devA,0,867900000.0,7,125.0,-121.05319104964107,-11.407336438805064,"(-12.0, -10.0]",55.0,0.107776,0.2,2.4400000000000004,1.7029734400000005,3,1.0
13,2020-01-01 00:00:19,gw_main,devC,0,868300000.0,7,125.0,-96.6122241358258,-7.737226438709857,"(-8.0, -6.0]",57.0,0.107776,0.5533980582524272,1.6460552361202754,0.8234604852483742,3,1.0
14,2020-01-01 00:00:20,gw_main,devC,0,867300000.0,7,125.0,-107.11216093175847,-11.050410226750394,"(-12.0, -10.0]",78.0,0.13849599999999998,0.2,2.4400000000000004,1.7779302400000003,3,1.0
15,2020-01-01 00:00:22,gw_main,devB,0,867900000.0,10,125.0,-107.2370597891279,-7.604678888662219,"(-8.0, -6.0]",72.0,0.780288,0.25,2.3125,3.116916,3,1.0
16,2020-01-01 00:00:23,gw_main,devC,1,867300000.0,10,125.0,-111.87794564544376,1.6275861529302091,"(0.0, 2.0]",78.0,0.821248,0.8888888888888888,1.1234567901234567,1.0460934320987652,3,1.0
17,2020-01-01 00:00:24,gw_main,devC,1,867900000.0,8,125.0,-89.76744920350714,0.9405065197453509,"(0.0, 2.0]",70.0,0.225792,0.9338842975206612,1.0704869885936752,0.31219438672221833,3,1.0
18,2020-01-01 00:00:25,gw_main,devB,1,867300000.0,10,125.0,-99.17399700587866,-1.1215856677797262,"(-2.0, 0.0]",71.0,0.780288,0.7575757575757576,1.3011937557392104,1.3164996290174473,3,1.0
19,2020-01-01 00:00:26,gw_main,devA,0,868300000.0,10,125.0,-92.147252739555,-15.100558264923079,"(-16.0, -14.0]",32.0,0.45260799999999995,0.7102803738317757,1.37365708795528,0.9953852752205434,3,1.0
20,2020-01-01 00:00:27,gw_main,devC,0,867300000.0,9,125.0,-116.00477862269659,-3.2321573750798196,"(-4.0, -2.0]",79.0,0.451584,0.7241379310344828,1.351961950059453,0.9624863353151011,3,1.0
21,2020-01-01 00:00:28,gw_main,devB,1,867900000.0,10,125.0,-100.00118247798922,-0.29100567240643194,"(-2.0, 0.0]",73.0,0.780288,0.7575757575757576,1.3011937557392104,1.3164996290174473,3,1.0
