record_id,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,fwi_source,ground_truth_tier,danger_class,danger_label,criticality,deadline_s,iot_fwi,iot_transmit,iot_gate_decision,source
0,30.0,15.9,7.4,0.32,99.0,65.0,209.6,8.8,50.4,20.4,provided,1,1,Moderate,0.35,5.640159571160261,20.4,1,transmit_to_edge,synthetic_fallback
1,32.4,64.8,18.5,0.04,86.4,38.9,163.7,9.9,40.7,19.8,provided,1,1,Moderate,0.35,5.640159571160261,19.8,1,transmit_to_edge,synthetic_fallback
2,27.8,50.8,13.3,1.75,81.6,29.6,108.5,4.3,26.6,8.1,provided,0,0,Low,0.2,10.0,8.1,0,local_low_no_transmit,synthetic_fallback
3,22.9,58.8,14.4,0.08,85.0,34.1,131.0,11.4,44.6,23.1,provided,2,2,High,0.55,3.1811399988150706,23.1,1,transmit_to_edge,synthetic_fallback
4,26.4,14.7,4.8,0.54,99.0,71.2,180.7,7.0,54.2,18.0,provided,1,1,Moderate,0.35,5.640159571160261,18.0,1,transmit_to_edge,synthetic_fallback
5,22.1,44.0,10.8,1.57,75.8,36.8,117.9,8.8,11.5,9.7,provided,0,0,Low,0.2,10.0,9.7,0,local_low_no_transmit,synthetic_fallback
6,30.5,38.8,16.9,1.13,87.9,55.7,207.8,5.1,45.7,12.9,provided,1,1,Moderate,0.35,5.640159571160261,12.9,1,transmit_to_edge,synthetic_fallback
7,40.7,33.0,23.2,0.58,99.0,95.5,268.2,8.9,80.1,26.0,provided,2,2,High,0.55,3.1811399988150706,26.0,1,transmit_to_edge,synthetic_fallback
8,26.1,5.0,23.9,0.14,99.0,85.2,279.4,8.3,75.0,24.0,provided,2,2,High,0.55,3.1811399988150706,24.0,1,transmit_to_edge,synthetic_fallback
9,25.0,44.6,16.4,0.6,86.8,55.1,140.0,7.7,44.5,17.4,provided,1,1,Moderate,0.35,5.640159571160261,17.4,1,transmit_to_edge,synthetic_fallback
10,33.9,71.7,15.7,2.32,72.4,14.0,139.6,9.9,10.7,10.4,provided,0,0,Low,0.2,10.0,10.4,0,local_low_no_transmit,synthetic_fallback
11,32.9,60.4,11.2,0.45,92.0,31.1,83.7,9.6,37.0,18.5,provided,1,1,Moderate,0.35,5.640159571160261,18.5,1,transmit_to_edge,synthetic_fallback
12,30.8,38.8,19.8,0.46,99.0,71.4,218.0,11.4,53.9,25.4,provided,2,2,High,0.55,3.1811399988150706,25.4,1,transmit_to_edge,synthetic_fallback
13,22.6,51.7,15.3,0.79,79.3,20.7,72.0,9.1,23.2,14.0,provided,1,1,Moderate,0.35,5.640159571160261,14.0,1,transmit_to_edge,synthetic_fallback
14,29.8,68.6,21.2,0.18,88.5,40.2,144.7,13.2,32.3,21.9,provided,2,2,High,0.55,3.1811399988150706,21.9,1,transmit_to_edge,synthetic_fallback
15,35.6,5.0,29.3,0.74,99.0,98.3,382.3,13.7,77.0,34.2,provided,2,2,High,0.55,3.1811399988150706,34.2,1,transmit_to_edge,synthetic_fallback
16,19.2,49.3,16.8,0.81,63.6,26.2,96.2,9.2,33.9,17.3,provided,1,1,Moderate,0.35,5.640159571160261,17.3,1,transmit_to_edge,synthetic_fallback
17,26.3,64.0,6.5,0.77,77.5,23.1,111.1,6.2,1.4,2.9,provided,0,0,Low,0.2,10.0,2.9,0,local_low_no_transmit,synthetic_fallback
18,14.8,67.0,11.0,0.4,61.9,24.5,18.1,1.9,10.0,1.5,provided,0,0,Low,0.2,10.0,1.5,0,local_low_no_transmit,synthetic_fallback
19,19.7,89.4,6.8,0.49,67.8,0.0,92.9,4.8,8.8,4.8,provided,0,0,Low,0.2,10.0,4.8,0,local_low_no_transmit,synthetic_fallback
20,15.3,77.0,8.6,0.41,59.8,12.8,57.0,8.8,8.7,8.5,provided,0,0,Low,0.2,10.0,8.5,0,local_low_no_transmit,synthetic_fallback
21,28.1,58.9,26.1,0.28,85.7,72.3,220.4,12.0,66.0,29.1,provided,2,2,High,0.55,3.1811399988150706,29.1,1,transmit_to_edge,synthetic_fallback
22,19.9,58.6,18.6,1.3,72.3,22.8,42.4,8.8,16.4,11.6,provided,1,1,Moderate,0.35,5.640159571160261,11.6,1,transmit_to_edge,synthetic_fallback
23,32.2,69.3,6.4,0.11,85.0,39.0,107.6,5.3,28.0,10.1,provided,0,0,Low,0.2,10.0,10.1,0,local_low_no_transmit,synthetic_fallback
24,31.3,40.1,21.6,0.02,98.6,75.1,282.3,11.2,82.9,31.1,provided,2,2,High,0.55,3.1811399988150706,31.1,1,transmit_to_edge,synthetic_fallback
25,28.5,51.1,25.8,0.92,90.6,68.6,177.5,15.2,53.3,30.6,provided,2,2,High,0.55,3.1811399988150706,30.6,1,transmit_to_edge,synthetic_fallback
26,10.0,71.9,14.5,1.02,48.6,0.0,16.0,6.1,0.0,1.8,provided,0,0,Low,0.2,10.0,1.8,0,local_low_no_transmit,synthetic_fallback
27,25.7,95.1,12.3,0.05,66.3,14.0,67.9,5.3,4.3,3.8,provided,0,0,Low,0.2,10.0,3.8,0,local_low_no_transmit,synthetic_fallback
28,29.6,48.5,14.6,0.87,94.3,46.4,133.3,2.5,32.0,5.6,provided,0,0,Low,0.2,10.0,5.6,0,local_low_no_transmit,synthetic_fallback
29,30.9,50.9,19.0,0.89,99.0,56.7,214.0,9.7,54.7,22.8,provided,2,2,High,0.55,3.1811399988150706,22.8,1,transmit_to_edge,synthetic_fallback
30,17.8,56.4,21.5,0.46,81.8,30.4,111.0,6.8,30.8,12.9,provided,1,1,Moderate,0.35,5.640159571160261,12.9,1,transmit_to_edge,synthetic_fallback
31,26.2,81.6,25.3,2.14,70.0,20.8,77.0,6.6,18.0,9.6,provided,0,0,Low,0.2,10.0,9.6,0,local_low_no_transmit,synthetic_fallback
32,22.2,51.3,25.5,0.54,92.8,37.6,131.7,14.7,26.6,21.5,provided,2,2,High,0.55,3.1811399988150706,21.5,1,transmit_to_edge,synthetic_fallback
33,23.5,84.3,25.3,0.07,80.7,24.6,112.1,14.0,28.0,21.3,provided,2,2,High,0.55,3.1811399988150706,21.3,1,transmit_to_edge,synthetic_fallback
34,38.5,30.7,26.5,0.55,99.0,79.2,281.8,9.4,54.6,22.2,provided,2,2,High,0.55,3.1811399988150706,22.2,1,transmit_to_edge,synthetic_fallback
35,23.5,47.9,21.6,0.78,92.7,36.0,191.4,13.4,32.0,22.0,provided,2,2,High,0.55,3.1811399988150706,22.0,1,transmit_to_edge,synthetic_fallback
36,29.7,47.6,6.3,2.11,80.3,33.1,169.3,6.2,29.5,11.7,provided,1,1,Moderate,0.35,5.640159571160261,11.7,1,transmit_to_edge,synthetic_fallback
37,37.1,69.3,16.1,0.42,92.8,49.4,217.8,8.3,38.2,16.9,provided,1,1,Moderate,0.35,5.640159571160261,16.9,1,transmit_to_edge,synthetic_fallback
38,25.3,75.0,19.2,0.49,77.6,15.5,122.9,11.7,18.5,15.3,provided,1,1,Moderate,0.35,5.640159571160261,15.3,1,transmit_to_edge,synthetic_fallback
39,29.1,18.8,14.3,2.61,95.5,70.4,221.4,4.7,53.5,13.1,provided,1,1,Moderate,0.35,5.640159571160261,13.1,1,transmit_to_edge,synthetic_fallback
40,30.9,31.9,23.4,0.18,99.0,71.5,167.0,10.2,49.9,22.5,provided,2,2,High,0.55,3.1811399988150706,22.5,1,transmit_to_edge,synthetic_fallback
41,30.5,59.4,14.5,0.85,81.1,28.3,185.2,5.4,43.8,13.1,provided,1,1,Moderate,0.35,5.640159571160261,13.1,1,transmit_to_edge,synthetic_fallback
42,20.2,37.5,10.5,0.18,73.7,53.9,149.0,4.9,49.8,12.9,provided,1,1,Moderate,0.35,5.640159571160261,12.9,1,transmit_to_edge,synthetic_fallback
43,30.6,18.5,27.1,0.01,99.0,78.0,308.5,16.0,78.7,38.4,provided,3,3,Very High,0.75,1.7942137211517566,38.4,1,transmit_to_edge,synthetic_fallback
44,40.9,74.8,21.7,0.05,84.6,64.7,206.3,8.6,54.7,21.0,provided,1,1,Moderate,0.35,5.640159571160261,21.0,1,transmit_to_edge,synthetic_fallback
45,17.6,62.9,18.5,0.26,74.8,23.7,44.7,7.4,25.7,12.5,provided,1,1,Moderate,0.35,5.640159571160261,12.5,1,transmit_to_edge,synthetic_fallback
46,36.9,62.8,23.5,0.09,98.2,64.4,205.3,10.8,60.3,25.8,provided,2,2,High,0.55,3.1811399988150706,25.8,1,transmit_to_edge,synthetic_fallback
47,31.0,41.5,24.4,3.15,76.2,44.6,181.7,10.6,49.5,23.0,provided,2,2,High,0.55,3.1811399988150706,23.0,1,transmit_to_edge,synthetic_fallback
48,24.9,74.6,19.4,0.78,78.9,18.7,144.9,9.3,39.7,18.8,provided,1,1,Moderate,0.35,5.640159571160261,18.8,1,transmit_to_edge,synthetic_fallback
49,46.0,46.7,1.0,0.78,99.0,71.9,235.3,7.2,59.0,19.1,provided,1,1,Moderate,0.35,5.640159571160261,19.1,1,transmit_to_edge,synthetic_fallback
50,36.1,76.1,12.3,0.21,87.4,64.1,130.1,7.0,51.5,17.5,provided,1,1,Moderate,0.35,5.640159571160261,17.5,1,transmit_to_edge,synthetic_fallback
51,20.4,31.9,13.8,0.27,99.0,26.0,228.2,6.9,30.1,12.9,provided,1,1,Moderate,0.35,5.640159571160261,12.9,1,transmit_to_edge,synthetic_fallback
52,30.6,33.2,10.1,1.42,99.0,54.8,166.3,6.7,17.4,9.5,provided,0,0,Low,0.2,10.0,9.5,0,local_low_no_transmit,synthetic_fallback
53,34.6,56.5,18.4,0.13,89.4,63.7,287.9,10.8,47.4,22.9,provided,2,2,High,0.55,3.1811399988150706,22.9,1,transmit_to_edge,synthetic_fallback
54,28.5,36.5,25.3,0.74,99.0,51.4,225.9,11.1,47.1,23.2,provided,2,2,High,0.55,3.1811399988150706,23.2,1,transmit_to_edge,synthetic_fallback
55,35.5,66.9,13.6,0.95,89.7,30.4,131.9,9.3,32.7,17.0,provided,1,1,Moderate,0.35,5.640159571160261,17.0,1,transmit_to_edge,synthetic_fallback
56,29.5,57.7,9.1,0.4,88.3,63.6,190.0,11.5,48.0,24.1,provided,2,2,High,0.55,3.1811399988150706,24.1,1,transmit_to_edge,synthetic_fallback
57,35.3,31.7,31.2,1.27,99.0,72.8,333.6,13.4,76.4,33.5,provided,2,2,High,0.55,3.1811399988150706,33.5,1,transmit_to_edge,synthetic_fallback
58,41.5,53.6,13.8,0.36,98.4,90.0,198.9,9.7,80.6,27.8,provided,2,2,High,0.55,3.1811399988150706,27.8,1,transmit_to_edge,synthetic_fallback
59,24.6,44.3,8.4,0.4,82.6,48.1,212.6,9.9,40.6,19.9,provided,1,1,Moderate,0.35,5.640159571160261,19.9,1,transmit_to_edge,synthetic_fallback
60,31.6,72.1,18.7,0.23,80.9,42.9,146.3,8.8,48.0,19.9,provided,1,1,Moderate,0.35,5.640159571160261,19.9,1,transmit_to_edge,synthetic_fallback
61,26.3,38.1,20.0,0.08,92.0,64.0,266.9,9.5,71.6,25.8,provided,2,2,High,0.55,3.1811399988150706,25.8,1,transmit_to_edge,synthetic_fallback
62,31.0,42.3,12.1,1.38,89.9,56.0,168.6,5.5,50.2,14.4,provided,1,1,Moderate,0.35,5.640159571160261,14.4,1,transmit_to_edge,synthetic_fallback
63,20.5,78.6,22.5,0.94,59.8,26.2,5.6,10.8,9.5,10.5,provided,0,0,Low,0.2,10.0,10.5,0,local_low_no_transmit,synthetic_fallback
64,25.4,98.0,13.6,0.78,56.5,9.6,46.9,8.1,20.8,12.1,provided,1,1,Moderate,0.35,5.640159571160261,12.1,1,transmit_to_edge,synthetic_fallback
65,28.4,96.0,10.5,0.38,71.5,15.0,90.4,6.7,13.9,8.4,provided,0,0,Low,0.2,10.0,8.4,0,local_low_no_transmit,synthetic_fallback
66,37.2,53.4,18.3,1.84,91.8,54.1,264.6,9.8,48.0,21.5,provided,2,2,High,0.55,3.1811399988150706,21.5,1,transmit_to_edge,synthetic_fallback
67,39.2,56.8,22.4,0.69,99.0,78.4,294.6,15.0,69.6,34.5,provided,2,2,High,0.55,3.1811399988150706,34.5,1,transmit_to_edge,synthetic_fallback
68,19.4,85.7,12.6,2.4,42.0,12.2,49.3,6.8,6.5,5.9,provided,0,0,Low,0.2,10.0,5.9,0,local_low_no_transmit,synthetic_fallback
69,23.6,49.3,19.3,0.13,83.4,35.7,160.2,7.6,41.4,16.5,provided,1,1,Moderate,0.35,5.640159571160261,16.5,1,transmit_to_edge,synthetic_fallback
70,35.2,30.5,16.3,0.27,99.0,70.4,256.8,10.4,67.4,26.7,provided,2,2,High,0.55,3.1811399988150706,26.7,1,transmit_to_edge,synthetic_fallback
71,14.1,54.6,36.8,0.74,78.4,33.2,103.8,15.8,37.6,26.6,provided,2,2,High,0.55,3.1811399988150706,26.6,1,transmit_to_edge,synthetic_fallback
72,26.3,61.9,12.0,1.02,74.8,23.9,85.8,8.9,25.3,14.4,provided,1,1,Moderate,0.35,5.640159571160261,14.4,1,transmit_to_edge,synthetic_fallback
73,29.2,33.8,26.7,0.41,99.0,64.9,237.6,13.2,50.1,27.0,provided,2,2,High,0.55,3.1811399988150706,27.0,1,transmit_to_edge,synthetic_fallback
74,40.1,15.8,16.6,0.24,99.0,86.8,253.6,9.2,70.4,24.9,provided,2,2,High,0.55,3.1811399988150706,24.9,1,transmit_to_edge,synthetic_fallback
75,35.5,20.4,16.1,0.54,99.0,79.8,300.7,9.2,76.9,26.2,provided,2,2,High,0.55,3.1811399988150706,26.2,1,transmit_to_edge,synthetic_fallback
76,27.4,66.6,22.1,0.45,83.8,43.0,143.5,7.4,33.3,14.5,provided,1,1,Moderate,0.35,5.640159571160261,14.5,1,transmit_to_edge,synthetic_fallback
77,27.1,35.3,23.3,0.62,99.0,70.0,307.5,12.4,87.3,34.1,provided,2,2,High,0.55,3.1811399988150706,34.1,1,transmit_to_edge,synthetic_fallback
78,28.0,48.9,25.9,1.92,83.6,43.2,185.9,10.4,37.3,19.7,provided,1,1,Moderate,0.35,5.640159571160261,19.7,1,transmit_to_edge,synthetic_fallback
79,42.2,56.7,19.3,0.14,99.0,93.8,245.4,12.5,71.0,30.9,provided,2,2,High,0.55,3.1811399988150706,30.9,1,transmit_to_edge,synthetic_fallback
