prb,minMedian,minLabel,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label,value,label
50050,25.977167,Amsterdam1-AMS01.csv,26.391792,EuropeAmsterdam.csv,26.598,europe-west3.csv,28.282875,Frankfurt5-FRA05.csv,28.736041,eu-frankfurt.csv,28.812375,europe-west1.csv,28.958542,EUFrankfurt.csv,29.549125,europe-west4.csv,31.410875,uk-london.csv,31.551542,EULondon.csv,32.065208,europe-west2.csv,36.342625,Paris-PAR01.csv,37.089625,EUParis.csv,38.652208,London-Lon02.csv,39.211292,EuropeSlough.csv,40.320875,xLondon.csv,40.655583,EUIreland.csv,40.661458,europe-north1.csv,52.23025,Milan-MIL01.csv,53.811625,Oslo-OSL01.csv,102.720458,NorthVirginia.csv,103.436334,Us-east1 2.csv,103.901666,USEastNViginia.csv,109.158,us-east4.csv,109.352583,us-ashburn.csv,111.554625,Washington-WDC01.csv,114.267167,northamerica-northeast1.csv,114.444833,Montreal-MON01.csv,117.821875,us-east1.csv,120.798083,Toronto-TOR01.csv,122.827958,Chicago.csv,123.931792,CanadaCentral.csv,123.943917,USEastOhio.csv,124.156417,Us-central1 2.csv,130.044958,us-central1.csv,138.351542,AsiaPacificMumbai.csv,141.2045,Dallas.csv,144.909417,Dallas-DAL01.csv,146.639,Houston-HOU2.csv,158.570875,us-phoenix.csv,165.511292,us-west1.csv,166.160458,Seattle-SEA01.csv,168.1695,Queretaro-MEX01.csv,170.513334,Chennai-CHE01.csv,172.931042,USWestNCalifornia.csv,174.724583,SanJose-SJC01.csv,181.74,USWestOregon.csv,217.183208,SaoPaola-SAO01.csv,226.492208,SouthAmericaSaoPaola.csv,233.470167,southamerica-east1.csv,240.234084,AmericaSao_Paulo.csv,250.814625,asia-northeast1.csv,262.792917,Singapore-SNG01.csv,263.616833,HongKong.csv,275.645334,Tokyo-TOK02.csv,276.674167,asia-east1.csv,280.046459,HongKong-HKG02.csv,282.343166,AsiaPacificTokyo.csv,286.921792,AsiaPacificSingapure.csv,291.337167,Seoul-SEO01.csv,293.523292,Melbourne-MEL01.csv,300.731917,AsiaPacificSydney.csv,301.862375,australia-southeast1.csv,306.153,AsiaPacificSeoul.csv,308.118,Sydney-SYD01.csv,315.424834,asia-southeast1.csv,329.451375,Sydney.csv,338.559417,AustraliaSydney.csv,371.257834,asia-south1.csv
50042,6.050583,Amsterdam1-AMS01.csv,7.008334,EuropeAmsterdam.csv,9.136083,europe-west4.csv,10.335125,europe-west1.csv,11.062375,Frankfurt5-FRA05.csv,11.542041,EULondon.csv,11.601167,EUFrankfurt.csv,11.694833,eu-frankfurt.csv,11.933625,europe-west2.csv,12.137417,europe-west3.csv,12.703625,uk-london.csv,14.3955,EuropeSlough.csv,14.517458,xLondon.csv,16.354084,Paris-PAR01.csv,17.720792,London-Lon02.csv,19.304042,EUParis.csv,21.791,EUIreland.csv,26.04525,Milan-MIL01.csv,37.193292,europe-north1.csv,82.038417,NorthVirginia.csv,83.717,Us-east1 2.csv,86.227791,us-east4.csv,90.077125,us-ashburn.csv,92.436334,CanadaCentral.csv,94.617416,Chicago.csv,95.426292,USEastNViginia.csv,96.111458,Us-central1 2.csv,97.093917,northamerica-northeast1.csv,97.180459,us-east1.csv,98.002875,Washington-WDC01.csv,103.964125,USEastOhio.csv,109.672334,us-central1.csv,111.455709,Toronto-TOR01.csv,118.356125,AsiaPacificMumbai.csv,119.570166,Dallas-DAL01.csv,120.5265,Dallas.csv,141.551167,Houston-HOU2.csv,142.116625,us-phoenix.csv,143.154583,us-west1.csv,144.268375,SanJose-SJC01.csv,149.335792,Oslo-OSL01.csv,150.835875,Seattle-SEA01.csv,163.700416,USWestNCalifornia.csv,167.146542,Queretaro-MEX01.csv,180.245209,USWestOregon.csv,194.171042,Montreal-MON01.csv,205.224084,SaoPaola-SAO01.csv,211.588916,AmericaSao_Paulo.csv,213.179792,southamerica-east1.csv,221.437125,SouthAmericaSaoPaola.csv,231.5705,asia-northeast1.csv,247.920333,AsiaPacificTokyo.csv,257.677875,asia-east1.csv,281.020166,australia-southeast1.csv,289.982583,Chennai-CHE01.csv,293.091375,asia-southeast1.csv,294.785834,Sydney.csv,304.846791,AsiaPacificSeoul.csv,309.85875,HongKong-HKG02.csv,310.615625,HongKong.csv,320.511,AustraliaSydney.csv,321.815584,Seoul-SEO01.csv,324.528084,Tokyo-TOK02.csv,327.8535,AsiaPacificSydney.csv,330.7555,Singapore-SNG01.csv,332.641,AsiaPacificSingapure.csv,351.867667,asia-south1.csv,426.443334,Melbourne-MEL01.csv,427.775167,Sydney-SYD01.csv
50033,6.249875,eu-frankfurt.csv,6.509,europe-west3.csv,8.962833,EUFrankfurt.csv,10.9985,Frankfurt5-FRA05.csv,11.814083,Amsterdam1-AMS01.csv,15.901333,europe-west4.csv,16.661125,europe-west1.csv,17.40025,EUParis.csv,18.21575,EuropeSlough.csv,18.299125,Milan-MIL01.csv,18.480667,EuropeAmsterdam.csv,20.187084,europe-west2.csv,20.356708,EULondon.csv,20.68275,Paris-PAR01.csv,21.598917,London-Lon02.csv,24.891416,uk-london.csv,26.032667,xLondon.csv,27.465709,EUIreland.csv,37.330791,Oslo-OSL01.csv,39.860834,europe-north1.csv,94.457458,us-ashburn.csv,94.685375,Us-east1 2.csv,95.527667,us-east4.csv,98.784708,NorthVirginia.csv,99.609167,USEastNViginia.csv,100.739542,Washington-WDC01.csv,102.031334,CanadaCentral.csv,103.99875,northamerica-northeast1.csv,104.956917,us-east1.csv,110.521709,Montreal-MON01.csv,112.310125,Chicago.csv,113.260291,AsiaPacificMumbai.csv,113.34775,Toronto-TOR01.csv,115.109792,us-central1.csv,115.964375,USEastOhio.csv,122.482376,Houston-HOU2.csv,141.163751,Us-central1 2.csv,149.355125,us-west1.csv,158.93225,Dallas-DAL01.csv,162.440042,Seattle-SEA01.csv,164.57075,Dallas.csv,165.106417,Queretaro-MEX01.csv,169.334167,USWestOregon.csv,169.366084,us-phoenix.csv,179.227792,SanJose-SJC01.csv,180.505,USWestNCalifornia.csv,206.895125,HongKong.csv,219.334958,AmericaSao_Paulo.csv,221.130334,southamerica-east1.csv,230.694,SaoPaola-SAO01.csv,236.696375,asia-northeast1.csv,236.977333,SouthAmericaSaoPaola.csv,252.042209,Singapore-SNG01.csv,263.593459,AsiaPacificTokyo.csv,265.463126,asia-east1.csv,268.931208,Seoul-SEO01.csv,269.027084,HongKong-HKG02.csv,271.115084,AsiaPacificSingapure.csv,271.92625,Tokyo-TOK02.csv,272.947459,Chennai-CHE01.csv,280.034167,AsiaPacificSeoul.csv,287.752167,australia-southeast1.csv,300.509583,asia-southeast1.csv,307.472916,AsiaPacificSydney.csv,315.351125,AustraliaSydney.csv,321.142791,Sydney.csv,344.810417,Melbourne-MEL01.csv,355.028542,Sydney-SYD01.csv,359.44625,asia-south1.csv
50022,135.257,europe-west1.csv,136.043625,europe-west3.csv,138.528208,europe-west2.csv,141.715751,europe-west4.csv,142.084334,EuropeSlough.csv,143.467209,xLondon.csv,146.97075,EUParis.csv,150.1234795,AsiaPacificSingapure.csv,153.860625,EUFrankfurt.csv,154.499875,AsiaPacificMumbai.csv,155.568167,London-Lon02.csv,155.791542,eu-frankfurt.csv,156.671042,Frankfurt5-FRA05.csv,160.436917,EuropeAmsterdam.csv,162.522584,HongKong.csv,165.403001,Chennai-CHE01.csv,167.299084,europe-north1.csv,169.900292,Amsterdam1-AMS01.csv,170.390458,Paris-PAR01.csv,172.732542,EULondon.csv,180.821958,uk-london.csv,184.802125,Milan-MIL01.csv,185.272625,EUIreland.csv,188.443792,Oslo-OSL01.csv,207.957083,us-east4.csv,210.356708,AsiaPacificTokyo.csv,214.302459,northamerica-northeast1.csv,218.937375,us-east1.csv,226.127792,NorthVirginia.csv,229.439916,Singapore-SNG01.csv,231.138459,us-central1.csv,232.351167,Washington-WDC01.csv,244.620875,AsiaPacificSeoul.csv,245.858334,Toronto-TOR01.csv,246.057,us-ashburn.csv,246.279833,Chicago.csv,250.332209,Montreal-MON01.csv,251.032708,USEastNViginia.csv,251.61325,Us-east1 2.csv,253.849125,CanadaCentral.csv,256.973083,HongKong-HKG02.csv,259.5725,USEastOhio.csv,262.277958,Dallas.csv,264.486417,Us-central1 2.csv,264.55775,us-west1.csv,270.014625,Dallas-DAL01.csv,273.275625,Houston-HOU2.csv,280.866792,us-phoenix.csv,285.496167,Queretaro-MEX01.csv,290.976667,Seattle-SEA01.csv,295.475542,Tokyo-TOK02.csv,302.843875,Seoul-SEO01.csv,305.174083,SanJose-SJC01.csv,308.264625,USWestNCalifornia.csv,310.709042,USWestOregon.csv,317.733709,AsiaPacificSydney.csv,318.364542,Melbourne-MEL01.csv,333.524333,Sydney-SYD01.csv,335.436167,southamerica-east1.csv,347.436084,SaoPaola-SAO01.csv,351.236501,asia-northeast1.csv,354.97,AmericaSao_Paulo.csv,359.574042,SouthAmericaSaoPaola.csv,365.552584,Sydney.csv,378.005042,AustraliaSydney.csv,380.87925,asia-east1.csv,402.946084,australia-southeast1.csv,412.896208,asia-southeast1.csv,471.896083,asia-south1.csv
50017,9.527875,us-east4.csv,10.783583,USEastNViginia.csv,12.086958,Us-east1 2.csv,12.257166,Washington-WDC01.csv,13.433125,NorthVirginia.csv,17.795916,us-ashburn.csv,24.817875,USEastOhio.csv,27.75525,northamerica-northeast1.csv,28.821666,Montreal-MON01.csv,31.467208,us-east1.csv,35.19625,CanadaCentral.csv,35.426833,us-central1.csv,44.298083,Chicago.csv,45.047417,Us-central1 2.csv,45.95525,Dallas-DAL01.csv,47.211041,Toronto-TOR01.csv,51.963917,Dallas.csv,53.758083,Houston-HOU2.csv,75.236459,us-phoenix.csv,77.178125,Queretaro-MEX01.csv,82.488042,us-west1.csv,82.942292,Seattle-SEA01.csv,88.740166,uk-london.csv,89.793375,SanJose-SJC01.csv,91.585708,xLondon.csv,92.194041,USWestNCalifornia.csv,92.423501,Amsterdam1-AMS01.csv,93.722125,europe-west1.csv,94.099666,London-Lon02.csv,94.774333,europe-west2.csv,97.136542,EULondon.csv,97.434958,EUParis.csv,98.245583,Frankfurt5-FRA05.csv,98.805208,Paris-PAR01.csv,99.197916,EuropeAmsterdam.csv,99.52125,EUIreland.csv,99.758417,EUFrankfurt.csv,100.793709,europe-west4.csv,104.108917,EuropeSlough.csv,105.437333,USWestOregon.csv,109.934792,europe-west3.csv,110.210084,eu-frankfurt.csv,119.109459,Milan-MIL01.csv,124.572125,europe-north1.csv,128.850333,SaoPaola-SAO01.csv,140.771625,Oslo-OSL01.csv,142.038333,SouthAmericaSaoPaola.csv,151.280667,AmericaSao_Paulo.csv,155.282917,southamerica-east1.csv,176.230167,asia-northeast1.csv,188.38875,Tokyo-TOK02.csv,188.938834,AsiaPacificTokyo.csv,206.357876,asia-east1.csv,215.682541,australia-southeast1.csv,216.751625,AsiaPacificSydney.csv,216.938209,AsiaPacificSeoul.csv,223.073709,Seoul-SEO01.csv,231.499709,asia-southeast1.csv,235.507875,HongKong-HKG02.csv,243.053083,AustraliaSydney.csv,261.482084,AsiaPacificSingapure.csv,264.034708,AsiaPacificMumbai.csv,270.5695,Chennai-CHE01.csv,276.753167,Singapore-SNG01.csv,291.566583,asia-south1.csv,307.302708,Sydney-SYD01.csv,313.266333,Melbourne-MEL01.csv,,,,
50012,4.791792,Amsterdam1-AMS01.csv,5.662125,EuropeAmsterdam.csv,8.033791,europe-west4.csv,9.132917,europe-west1.csv,9.916208,Frankfurt5-FRA05.csv,10.3925,eu-frankfurt.csv,10.424042,EULondon.csv,10.532709,EUFrankfurt.csv,10.6135,europe-west2.csv,10.862042,London-Lon02.csv,10.997541,europe-west3.csv,11.310958,uk-london.csv,12.194667,xLondon.csv,13.385292,EuropeSlough.csv,15.391666,Paris-PAR01.csv,18.408917,EUParis.csv,19.151292,EUIreland.csv,24.854125,Milan-MIL01.csv,36.11225,europe-north1.csv,80.90875,NorthVirginia.csv,82.26875,Washington-WDC01.csv,83.728875,us-east4.csv,83.755625,Us-east1 2.csv,88.952084,us-ashburn.csv,91.480292,CanadaCentral.csv,92.794167,USEastNViginia.csv,93.4435,Chicago.csv,94.703041,Us-central1 2.csv,95.041709,northamerica-northeast1.csv,96.158,us-east1.csv,105.656333,USEastOhio.csv,109.021875,Montreal-MON01.csv,109.152583,Toronto-TOR01.csv,109.428167,us-central1.csv,117.994834,Dallas-DAL01.csv,118.872708,Houston-HOU2.csv,120.018376,Dallas.csv,132.659542,Oslo-OSL01.csv,134.607125,Seattle-SEA01.csv,138.969417,Queretaro-MEX01.csv,141.171291,us-west1.csv,141.466208,us-phoenix.csv,142.7145,SanJose-SJC01.csv,162.965416,USWestNCalifornia.csv,177.104209,USWestOregon.csv,202.34525,SaoPaola-SAO01.csv,206.041667,SouthAmericaSaoPaola.csv,212.122167,southamerica-east1.csv,218.654792,AmericaSao_Paulo.csv,228.656458,asia-northeast1.csv,256.879459,asia-east1.csv,259.372417,Chennai-CHE01.csv,259.797125,AsiaPacificTokyo.csv,264.768251,AsiaPacificMumbai.csv,280.15175,australia-southeast1.csv,284.128375,AsiaPacificSeoul.csv,291.782875,asia-southeast1.csv,293.829,Sydney.csv,305.869875,HongKong-HKG02.csv,307.723958,HongKong.csv,310.066667,Seoul-SEO01.csv,313.149417,Tokyo-TOK02.csv,321.303208,AustraliaSydney.csv,335.731001,AsiaPacificSingapure.csv,336.782833,AsiaPacificSydney.csv,344.968792,Singapore-SNG01.csv,350.298,asia-south1.csv,399.265334,Sydney-SYD01.csv,403.329292,Melbourne-MEL01.csv
50007,6.717375,uk-london.csv,6.849958,europe-west2.csv,6.916083,EULondon.csv,7.90225,London-Lon02.csv,8.832167,EuropeSlough.csv,9.268125,xLondon.csv,12.646417,europe-west1.csv,13.019917,Amsterdam1-AMS01.csv,13.671542,EuropeAmsterdam.csv,14.034125,Paris-PAR01.csv,14.1375,EUParis.csv,15.027791,europe-west4.csv,16.890042,EUFrankfurt.csv,17.084833,eu-frankfurt.csv,17.27825,Frankfurt5-FRA05.csv,18.166875,EUIreland.csv,18.670458,europe-west3.csv,22.562709,Oslo-OSL01.csv,26.868583,Milan-MIL01.csv,42.611,europe-north1.csv,77.969708,USEastNViginia.csv,78.151083,NorthVirginia.csv,79.285333,us-ashburn.csv,79.600792,Us-east1 2.csv,80.569917,Washington-WDC01.csv,81.618709,us-east4.csv,83.699167,Montreal-MON01.csv,86.259125,CanadaCentral.csv,89.772,Toronto-TOR01.csv,92.988917,northamerica-northeast1.csv,93.370375,us-east1.csv,93.664041,Us-central1 2.csv,101.053875,Chicago.csv,101.3305,USEastOhio.csv,105.060709,us-central1.csv,117.111375,Dallas-DAL01.csv,119.921083,Houston-HOU2.csv,122.412875,AsiaPacificMumbai.csv,124.925958,Dallas.csv,129.852667,us-phoenix.csv,135.607417,Seattle-SEA01.csv,140.078958,us-west1.csv,141.874333,Queretaro-MEX01.csv,145.891,SanJose-SJC01.csv,146.965959,USWestOregon.csv,150.631583,Chennai-CHE01.csv,153.946833,USWestNCalifornia.csv,179.154751,AsiaPacificSingapure.csv,182.029333,Singapore-SNG01.csv,183.035708,SaoPaola-SAO01.csv,198.494875,SouthAmericaSaoPaola.csv,208.135,AmericaSao_Paulo.csv,208.786,HongKong-HKG02.csv,209.879584,southamerica-east1.csv,212.29,HongKong.csv,222.454917,Tokyo-TOK02.csv,224.051834,AsiaPacificTokyo.csv,226.248375,asia-northeast1.csv,251.326917,Seoul-SEO01.csv,253.182375,asia-east1.csv,254.240209,AsiaPacificSeoul.csv,276.489875,Sydney-SYD01.csv,276.824375,australia-southeast1.csv,290.21575,asia-southeast1.csv,297.009459,Melbourne-MEL01.csv,298.165417,Sydney.csv,304.106417,AsiaPacificSydney.csv,306.404834,AustraliaSydney.csv,347.631958,asia-south1.csv
50004,6.725833,europe-west1.csv,9.946875,London-Lon02.csv,10.017292,europe-west2.csv,10.979417,uk-london.csv,11.145292,EUParis.csv,11.404375,europe-west3.csv,11.4355,Frankfurt5-FRA05.csv,11.553,xLondon.csv,11.607292,EUFrankfurt.csv,11.886125,Paris-PAR01.csv,11.951209,EuropeSlough.csv,12.986708,eu-frankfurt.csv,13.786375,Amsterdam1-AMS01.csv,15.799875,EuropeAmsterdam.csv,15.824125,EULondon.csv,15.878833,europe-west4.csv,21.63025,Milan-MIL01.csv,25.989084,EUIreland.csv,34.945959,Oslo-OSL01.csv,42.236416,europe-north1.csv,79.205459,USEastNViginia.csv,81.67,Us-east1 2.csv,82.010459,us-east4.csv,83.271625,Washington-WDC01.csv,83.925083,us-ashburn.csv,89.955917,northamerica-northeast1.csv,91.064667,us-east1.csv,91.859333,USEastOhio.csv,92.143792,Montreal-MON01.csv,96.680083,CanadaCentral.csv,98.007458,Chicago.csv,98.599833,Us-central1 2.csv,101.064,Toronto-TOR01.csv,105.108416,us-central1.csv,111.645333,Dallas-DAL01.csv,112.247833,NorthVirginia.csv,115.014833,AsiaPacificMumbai.csv,118.185917,Houston-HOU2.csv,121.128917,Dallas.csv,137.274708,Queretaro-MEX01.csv,139.0735,us-west1.csv,145.080666,SanJose-SJC01.csv,147.033709,us-phoenix.csv,151.922667,USWestNCalifornia.csv,153.968125,Seattle-SEA01.csv,168.716541,USWestOregon.csv,202.921167,SaoPaola-SAO01.csv,203.928417,SouthAmericaSaoPaola.csv,208.7655,southamerica-east1.csv,214.17225,AmericaSao_Paulo.csv,226.185083,asia-northeast1.csv,243.701,HongKong-HKG02.csv,250.974501,asia-east1.csv,250.992042,AsiaPacificSingapure.csv,252.944459,AsiaPacificTokyo.csv,254.190167,Singapore-SNG01.csv,254.424334,Chennai-CHE01.csv,258.39575,Tokyo-TOK02.csv,261.619167,HongKong.csv,263.280333,Seoul-SEO01.csv,277.467084,australia-southeast1.csv,278.243167,AsiaPacificSeoul.csv,281.864167,Melbourne-MEL01.csv,282.235125,Sydney-SYD01.csv,283.333584,AsiaPacificSydney.csv,286.079042,asia-southeast1.csv,293.879209,Sydney.csv,307.819042,AustraliaSydney.csv,345.865959,asia-south1.csv
50003,10.784292,Amsterdam1-AMS01.csv,11.387833,EuropeAmsterdam.csv,13.884417,europe-west4.csv,14.368125,europe-west1.csv,15.734792,uk-london.csv,15.787542,eu-frankfurt.csv,16.316,EUFrankfurt.csv,16.36775,EULondon.csv,16.476416,europe-west2.csv,16.555875,London-Lon02.csv,16.834042,europe-west3.csv,17.336042,EuropeSlough.csv,18.709417,xLondon.csv,20.643084,Frankfurt5-FRA05.csv,20.801083,Paris-PAR01.csv,24.153792,EUParis.csv,25.897167,EUIreland.csv,36.9545,Milan-MIL01.csv,38.54125,Oslo-OSL01.csv,41.672792,europe-north1.csv,87.321083,Us-east1 2.csv,92.995125,us-east4.csv,94.410625,us-ashburn.csv,94.86925,Washington-WDC01.csv,95.064292,CanadaCentral.csv,95.825541,USEastNViginia.csv,99.245541,Chicago.csv,100.003375,Montreal-MON01.csv,100.366542,Us-central1 2.csv,100.472334,NorthVirginia.csv,100.704833,northamerica-northeast1.csv,101.925917,us-east1.csv,108.249791,USEastOhio.csv,114.045625,us-central1.csv,121.359583,Toronto-TOR01.csv,125.115541,Dallas.csv,137.139208,AsiaPacificMumbai.csv,139.194625,Dallas-DAL01.csv,140.281375,Houston-HOU2.csv,148.626208,us-west1.csv,155.861666,us-phoenix.csv,159.243542,Queretaro-MEX01.csv,168.065792,Chennai-CHE01.csv,169.932084,SanJose-SJC01.csv,172.088709,USWestNCalifornia.csv,172.368833,Seattle-SEA01.csv,184.833042,Singapore-SNG01.csv,190.352875,USWestOregon.csv,205.253459,SaoPaola-SAO01.csv,217.469667,southamerica-east1.csv,225.170333,AmericaSao_Paulo.csv,227.962416,SouthAmericaSaoPaola.csv,235.094458,asia-northeast1.csv,257.596584,AsiaPacificTokyo.csv,261.375084,AsiaPacificSingapure.csv,262.024876,asia-east1.csv,265.820542,HongKong-HKG02.csv,268.615209,Tokyo-TOK02.csv,276.0015,Seoul-SEO01.csv,282.472625,HongKong.csv,284.904667,AsiaPacificSeoul.csv,285.57475,australia-southeast1.csv,296.877375,asia-southeast1.csv,299.032667,Melbourne-MEL01.csv,300.668625,Sydney-SYD01.csv,315.012792,Sydney.csv,319.484625,AustraliaSydney.csv,335.458541,AsiaPacificSydney.csv,357.72325,asia-south1.csv
50001,10.202958,Amsterdam1-AMS01.csv,11.321625,EuropeAmsterdam.csv,12.315708,europe-west4.csv,13.278,europe-west1.csv,14.856042,europe-west3.csv,14.948125,europe-west2.csv,16.940167,Frankfurt5-FRA05.csv,17.462916,EUFrankfurt.csv,17.982542,EULondon.csv,18.483958,uk-london.csv,18.534875,xLondon.csv,18.932958,Paris-PAR01.csv,19.497208,London-Lon02.csv,19.970375,eu-frankfurt.csv,21.28675,EuropeSlough.csv,26.741834,EUParis.csv,27.78175,EUIreland.csv,34.052625,Oslo-OSL01.csv,35.549416,Milan-MIL01.csv,40.878416,europe-north1.csv,100.959292,Washington-WDC01.csv,101.803166,Us-east1 2.csv,101.817292,us-east4.csv,104.798667,us-ashburn.csv,104.938709,NorthVirginia.csv,111.668333,Montreal-MON01.csv,112.746417,USEastNViginia.csv,114.159501,us-east1.csv,116.238125,Dallas-DAL01.csv,116.255917,northamerica-northeast1.csv,117.646334,Us-central1 2.csv,124.082625,Chicago.csv,124.532626,USEastOhio.csv,125.489791,Toronto-TOR01.csv,127.746333,AsiaPacificMumbai.csv,129.034209,CanadaCentral.csv,131.141792,us-central1.csv,132.5245,Houston-HOU2.csv,136.122667,Dallas.csv,140.850376,Seattle-SEA01.csv,149.894041,SanJose-SJC01.csv,156.084167,Chennai-CHE01.csv,160.894084,Queretaro-MEX01.csv,162.868875,us-west1.csv,168.32325,us-phoenix.csv,170.530209,USWestNCalifornia.csv,187.0325,USWestOregon.csv,219.998875,SaoPaola-SAO01.csv,225.572584,SouthAmericaSaoPaola.csv,230.682375,southamerica-east1.csv,241.106667,AmericaSao_Paulo.csv,253.450125,asia-northeast1.csv,257.322416,Singapore-SNG01.csv,261.782458,HongKong-HKG02.csv,270.375584,Tokyo-TOK02.csv,272.8035,Seoul-SEO01.csv,277.014834,AsiaPacificTokyo.csv,280.118584,asia-east1.csv,289.598001,AsiaPacificSingapure.csv,300.06375,AsiaPacificSeoul.csv,302.476417,australia-southeast1.csv,305.088834,Sydney-SYD01.csv,309.4355,Melbourne-MEL01.csv,312.7795,AsiaPacificSydney.csv,313.063584,asia-southeast1.csv,319.599791,HongKong.csv,327.321834,AustraliaSydney.csv,331.640167,Sydney.csv,374.305209,asia-south1.csv
